Cluster Id,Count,Cluster Words,Indices
the avengers,258,"the avengers, the hangover, the avengers 1, the avenger, the whale",[]
none,87,none,[]
home alone,69,home alone,[]
teenage mutant ninja turtles the turtles are famous for their love of pizza,69,"teenage mutant ninja turtles, teenage mutant ninja turtles the turtles are famous for their love of pizza",[]
nan,66,nan,[]
spider man spider verse,64,"spiderman, spiderman no way home, spiderman into the spiderverse, spider man spider verse, spiderman across the spiderverse",[]
ratatoullie,56,"ratatouille, ratatoullie",[]
jiro dreams of sushi,37,"jiro dreams of sushi, jiro dreams of sush, jiro dreams of sushi east side sushi finding nemo",[]
cloudy with a chance of meatballs,30,"cloudy with a chance of meatballs, cloudy with a chance of meatball, cloudy with a chance of meatballs again shawarmas dont appear in that though but hey its food",[]
monsters inc,25,"monsters inc, monster house, monster inc, monster",[]
spirited away,24,"spirited away, spirited away 2001, spirit away",[]
rush hour 2,23,"rush hour, rush hour 3, rush hour 2, rush hour series",[]
finding nemo,21,finding nemo,[]
alladin,19,"aladdin, alladin, aladdin idk",[]
fast and furious,18,"fast furious, fast and furious, fast furious tokyo drift",[]
your name 2016,17,"your name, your name 2016",[]
japanese movies,17,"japanese movies, japanese, japanese movies food documentaries, japanese movie",[]
john wick 4,16,"john wick, john wick 4",[]
cars 2,16,"cars, cars 2, cars 3",[]
deadpool and wolverine,15,"deadpool, deadpool and wolverine",[]
kill bill,14,kill bill,[]
the dictator,14,the dictator,[]
kung fu panda,13,"kungfu panda, kung fu panda",[]
the godfather,12,the godfather,[]
isle of dogs,9,isle of dogs,[]
anime i guess,8,"any american movie, anime, anime i guess, anime movie",[]
garfield,8,garfield,[]
wolverine,8,wolverine,[]
borat,8,borat,[]
madagascar 2,8,"madagascar, madagascar 2",[]
crazy rich asians,8,crazy rich asians,[]
toy story,8,toy story,[]
shrek2,8,"shrek, shrek2, shrek3",[]
harry potter,7,"harry potter, harry poter",[]
star wars,7,star wars,[]
breaking bad not a movie,7,"breaking bad, breaking bad not a movie",[]
godzilla,7,godzilla,[]
